repo,stars_latest,stars_30m_ago,stars_24h_ago,growth_30m,growth_24h,window_30m_available,window_24h_available,snapshot_count,note,collected_at
iopsystems/rezolus,257,257,257,0,0,True,False,29,缺少 24 小时前快照,2026-05-11T18:12:07.421234+00:00
Fu-Jie/openwebui-extensions,203,203,203,0,0,True,True,89,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
elastic/elasticsearch,76671,76672,76671,-1,0,True,True,158,已按历史快照计算,2026-05-11T18:12:07.396199+00:00
apache/echarts,66320,66321,66320,-1,0,True,True,127,已按历史快照计算,2026-05-11T18:12:07.402186+00:00
keras-team/keras,64059,64061,64059,-2,0,True,True,176,已按历史快照计算,2026-05-11T18:12:07.387173+00:00
opencv/opencv,87414,87418,87414,-4,0,True,True,173,已按历史快照计算,2026-05-11T18:12:07.393187+00:00
ansible/ansible,68494,68498,68494,-4,0,True,True,152,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
commaai/openpilot,60883,60887,60887,-4,-4,True,False,8,缺少 24 小时前快照,2026-05-11T18:12:07.428233+00:00
angular/angular,100067,100072,100067,-5,0,True,True,138,已按历史快照计算,2026-05-11T18:12:07.400195+00:00
django/django,87453,87458,87453,-5,0,True,True,147,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
apache/superset,72773,72778,72773,-5,0,True,True,162,已按历史快照计算,2026-05-11T18:12:07.395186+00:00
pallets/flask,71508,71514,71508,-6,0,True,True,145,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
tensorflow/tensorflow,195050,195057,195050,-7,0,True,True,186,已按历史快照计算,2026-05-11T18:12:07.375493+00:00
prometheus/prometheus,63978,63985,63978,-7,0,True,True,151,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
fastapi/fastapi,98068,98076,98068,-8,0,True,True,148,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
ant-design/ant-design,97986,97994,97986,-8,0,True,True,137,已按历史快照计算,2026-05-11T18:12:07.400195+00:00
home-assistant/core,86991,86999,86991,-8,0,True,True,123,已按历史快照计算,2026-05-11T18:12:07.403187+00:00
flutter/flutter,176261,176270,176261,-9,0,True,False,43,缺少 24 小时前快照,2026-05-11T18:12:07.422243+00:00
kubernetes/kubernetes,122171,122180,122171,-9,0,True,True,166,已按历史快照计算,2026-05-11T18:12:07.396199+00:00
pytorch/pytorch,99788,99797,99788,-9,0,True,True,177,已按历史快照计算,2026-05-11T18:12:07.375493+00:00
grafana/grafana,73653,73664,73653,-11,0,True,True,150,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
pocketbase/pocketbase,58252,58263,58252,-11,0,True,False,10,缺少 24 小时前快照,2026-05-11T18:12:07.426245+00:00
scikit-learn/scikit-learn,66024,66036,66024,-12,0,True,True,176,已按历史快照计算,2026-05-11T18:12:07.378493+00:00
huggingface/transformers,160439,160452,160439,-13,0,True,True,186,已按历史快照计算,2026-05-11T18:12:07.376493+00:00
vercel/next.js,139360,139377,139360,-17,0,True,True,150,已按历史快照计算,2026-05-11T18:12:07.399187+00:00
sveltejs/svelte,86518,86536,86518,-18,0,True,True,139,已按历史快照计算,2026-05-11T18:12:07.400195+00:00
supabase/supabase,102125,102147,102125,-22,0,True,True,144,已按历史快照计算,2026-05-11T18:12:07.400195+00:00
ollama/ollama,171134,171161,171134,-27,0,True,True,184,已按历史快照计算,2026-05-11T18:12:07.392180+00:00
vllm-project/vllm,79560,79589,79560,-29,0,True,True,176,已按历史快照计算,2026-05-11T18:12:07.392180+00:00
langchain-ai/langchain,136309,136348,136309,-39,0,True,True,186,已按历史快照计算,2026-05-11T18:12:07.377493+00:00
langgenius/dify,140827,140874,140827,-47,0,True,True,176,已按历史快照计算,2026-05-11T18:12:07.394187+00:00
open-webui/open-webui,136447,136523,136447,-76,0,True,True,183,已按历史快照计算,2026-05-11T18:12:07.393187+00:00
