repo,login,country,city,lat,lon,contributions
open-webui/open-webui,ShirasawaSama,China,Beijing,39.9042,116.4074,147
open-webui/open-webui,jannikstdl,Germany,Berlin,52.52,13.405,128
open-webui/open-webui,karllee830,China,Beijing,39.9042,116.4074,71
open-webui/open-webui,Yanyutin753,China,Beijing,39.9042,116.4074,66
open-webui/open-webui,TiancongLx,China,Beijing,39.9042,116.4074,49
opencv/opencv,tomoaki0705,Japan,Tokyo,35.6762,139.6503,196
opencv/opencv,vrabaud,France,Paris,48.8566,2.3522,159
opencv/opencv,akarsakov,United Kingdom,London,51.5072,-0.1276,149
opencv/opencv,fengyuentau,China,Beijing,39.9042,116.4074,125
opencv/opencv,paroj,Germany,Berlin,52.52,13.405,123
ultralytics/ultralytics,glenn-jocher,United States,San Francisco,37.7749,-122.4194,1562
ultralytics/ultralytics,Laughing-q,China,Beijing,39.9042,116.4074,353
ultralytics/ultralytics,AyushExel,India,Bangalore,12.9716,77.5946,83
milvus-io/milvus,JinHai-CN,China,Shanghai,31.2304,121.4737,1110
milvus-io/milvus,bigsheeper,China,Beijing,39.9042,116.4074,1008
milvus-io/milvus,zhuwenxing,China,Shanghai,31.2304,121.4737,812
milvus-io/milvus,xiaocai2333,China,Beijing,39.9042,116.4074,804
milvus-io/milvus,XuanYang-cn,China,Shanghai,31.2304,121.4737,759
milvus-io/milvus,cydrain,China,Shanghai,31.2304,121.4737,731
milvus-io/milvus,XuPeng-SH,China,Shanghai,31.2304,121.4737,711
milvus-io/milvus,sunby,China,Shanghai,31.2304,121.4737,636
milvus-io/milvus,weiliu1031,China,Shanghai,31.2304,121.4737,547
milvus-io/milvus,yah01,China,Shanghai,31.2304,121.4737,449
qdrant/qdrant,generall,Germany,Berlin,52.52,13.405,1044
qdrant/qdrant,agourlay,Germany,Berlin,52.52,13.405,822
qdrant/qdrant,timvisee,Netherlands,Amsterdam,52.3676,4.9041,688
qdrant/qdrant,JojiiOfficial,Germany,Berlin,52.52,13.405,142
qdrant/qdrant,KShivendu,India,Bangalore,12.9716,77.5946,71
qdrant/qdrant,kgrech,United Kingdom,London,51.5072,-0.1276,11
weaviate/weaviate,etiennedi,Germany,Berlin,52.52,13.405,3775
weaviate/weaviate,bobvanluijt,Netherlands,Amsterdam,52.3676,4.9041,1282
weaviate/weaviate,tsmith023,United Kingdom,London,51.5072,-0.1276,662
weaviate/weaviate,kavirajk,Netherlands,Amsterdam,52.3676,4.9041,492
weaviate/weaviate,redouan-rhazouani,Germany,Berlin,52.52,13.405,317
weaviate/weaviate,moretea,Netherlands,Amsterdam,52.3676,4.9041,273
chroma-core/chroma,rescrv,United States,San Francisco,37.7749,-122.4194,587
