repo,login,country,city,lat,lon,contributions,raw_location
apache/spark,cloud-fan,China,Beijing,39.9042,116.4074,1335,"Hangzhou, China"
apache/spark,LuciferYang,,,,,1173,Singapore
apache/spark,MaxGekk,,,,,932,"Belgrade, Serbia"
apache/spark,pwendell,,,,,857,
apache/spark,yaooqinn,China,Beijing,39.9042,116.4074,840,"Hangzhou, China"
apache/spark,viirya,,,,,720,Seattle
apache/spark,panbingkun,China,Beijing,39.9042,116.4074,719,Beijing
apache/spark,srowen,,,,,611,"Austin, TX"
apache/spark,gengliangwang,,,,,583,Palo Alto
apache/spark,tdas,,,,,568,
apache/spark,JoshRosen,,,,,567,
apache/spark,ueshin,,,,,533,San Jose
apache/spark,zsxwing,United States,San Francisco,37.7749,-122.4194,531,San Francisco
apache/spark,sarutak,Japan,Tokyo,35.6762,139.6503,524,Tokyo
apache/spark,wangyum,China,Shanghai,31.2304,121.4737,521,Shanghai
apache/spark,itholic,,,,,510,South Korea
apache/spark,beliefer,China,Beijing,39.9042,116.4074,477,China
apache/spark,gatorsmile,United States,San Francisco,37.7749,-122.4194,442,"San Francisco, CA"
apache/spark,liancheng,United States,San Francisco,37.7749,-122.4194,377,"San Francisco, CA, US"
apache/spark,mengxr,,,,,351,
apache/spark,HeartSaVioR,,,,,327,South Korea
apache/spark,xinrong-meng,,,,,305,
apache/spark,pan3793,,,,,301,
apache/spark,hvanhovell,Netherlands,Amsterdam,52.3676,4.9041,291,Netherlands/US
apache/spark,yanboliang,United States,San Francisco,37.7749,-122.4194,290,San Francisco Bay Area
apache/spark,AngersZhuuuu,,,,,285,SG
apache/spark,marmbrus,,,,,281,"Berkeley, CA"
apache/spark,huaxingao,,,,,280,"San Jose, CA"
apache/spark,ankurdave,,,,,274,"Pittsburgh, PA"
apache/spark,maropu,Japan,Tokyo,35.6762,139.6503,273,Tokyo/Japan
apache/spark,yhuai,,,,,256,
apache/spark,ulysses-you,China,Beijing,39.9042,116.4074,227,"Hangzhou, China"
apache/spark,Ngone51,China,Beijing,39.9042,116.4074,217,"Hangzhou, China"
apache/spark,gaogaotiantian,,,,,213,Mountain View
apache/spark,shivaram,,,,,209,
mlflow/mlflow,harupy,Japan,Tokyo,35.6762,139.6503,2675,Japan
mlflow/mlflow,Copilot,,,,,1076,
mlflow/mlflow,B-Step62,Japan,Tokyo,35.6762,139.6503,733,Tokyo / Japan
mlflow/mlflow,serena-ruan,,,,,723,
mlflow/mlflow,dbczumar,,,,,517,
mlflow/mlflow,BenWilson2,,,,,455,"Apex, NC"
mlflow/mlflow,TomeHirata,Japan,Tokyo,35.6762,139.6503,428,Tokyo
mlflow/mlflow,daniellok-db,,,,,397,
mlflow/mlflow,WeichenXu123,,,,,363,
mlflow/mlflow,smurching,,,,,278,
mlflow/mlflow,mlflow-automation,,,,,260,
mlflow/mlflow,mlflow-app[bot],,,,,161,
mlflow/mlflow,smoorjani,,,,,151,
mlflow/mlflow,sunishsheth2009,,,,,134,California
mlflow/mlflow,aarondav,,,,,128,
mlflow/mlflow,prithvikannan,United States,San Francisco,37.7749,-122.4194,107,San Francisco
mlflow/mlflow,chenmoneygithub,,,,,106,Mountain View
mlflow/mlflow,joelrobin18,,,,,94,
mlflow/mlflow,tomasatdatabricks,,,,,90,
mlflow/mlflow,mparkhe,,,,,90,Almaden Valley
mlflow/mlflow,kriscon-db,,,,,79,
mlflow/mlflow,jerrylian-db,,,,,68,
mlflow/mlflow,annzhang-db,,,,,63,
mlflow/mlflow,apurva-koti,United States,San Francisco,37.7749,-122.4194,61,"San Francisco, CA"
mlflow/mlflow,bbqiu,,,,,57,
mlflow/mlflow,PattaraS,,,,,52,"Sunnyvale, CA"
mlflow/mlflow,sueann,,,,,48,
mlflow/mlflow,juntai-zheng,,,,,45,
mlflow/mlflow,andrewmchen,United States,San Francisco,37.7749,-122.4194,44,San Francisco
mlflow/mlflow,alkispoly-db,,,,,42,
mlflow/mlflow,danielseong1,,,,,42,
mlflow/mlflow,xsh310,,,,,41,
mlflow/mlflow,ankit-db,United States,San Francisco,37.7749,-122.4194,38,San Francisco
