repo,cluster,pca_x,pca_y,anomaly_label,anomaly_reason,stars,forks,contributors,commits_recent,issues_recent,prs_recent,popularity_score,activity_score,health_score,globalization_score
apexcharts/apexcharts.js,0,-0.2569032068390606,1.0958069961869794,normal,国际化不足,15098,1382,20,30,13,30,0.5964312551771359,0.4417321207110376,0.5392791840239133,0.3249999999999999
ktorio/ktor,1,-0.5349350725961914,-0.37012018594927837,normal,正常,14393,1251,20,30,4,30,0.5979269227102144,0.3758784621744523,0.3981362822102797,0.4125
jupyter/notebook,3,0.12807362042064446,-0.12607354507411903,normal,国际化不足,13139,5664,20,30,21,30,0.6525828727785299,0.5002687060768913,0.4131624146144609,0.0875
encode/starlette,1,-0.38951746093363654,-0.13151534412705848,normal,正常,12297,1167,20,30,2,30,0.5727825793020647,0.3612443158329889,0.4236444122915805,0.575
StarRocks/starrocks,1,-0.9677292920920745,-1.0632538683523098,normal,国际化不足,11657,2407,20,30,1,30,0.6047225564891341,0.3539272426622571,0.3468151439988975,0.125
get-convex/convex-backend,1,-0.37285393294371416,-0.9768636076414744,normal,国际化不足,11552,710,20,30,17,30,0.5351335385422711,0.4710004133939645,0.2868677504073146,0.0875
misskey-dev/misskey,0,-0.12297256147714809,0.8714403897893535,normal,国际化不足,11153,1571,20,30,14,30,0.5735858161508722,0.4490491938817693,0.5313099175180613,0.2568181818181818
frappe/frappe,1,0.007326498073634841,-0.5073090421829145,normal,国际化不足,10063,4918,20,30,11,30,0.6195410730064703,0.4270979743695742,0.3916229784408783,0.3625
openebs/openebs,0,-0.2774550161476399,0.8246257852684894,normal,国际化不足,9731,982,20,29,19,30,0.5586450703875949,0.4788548987184787,0.4736610931006723,0.3225
hicccc77/WeFlow,0,-0.23727202890431195,0.9404772763454069,normal,国际化不足,9592,2332,20,30,22,30,0.548566464303097,0.507585779247623,0.4882600811755421,0.0875
apache/seatunnel,1,-0.4864021212736486,-1.079392116957446,normal,国际化不足,9316,2233,20,30,8,30,0.5839007174964104,0.4051467548573791,0.3137866887143448,0.205
databendlabs/databend,0,-0.8965507717906808,0.8211532770287651,normal,国际化不足,9285,870,20,30,6,30,0.5406291190648687,0.3905126085159157,0.5309614854623123,0.0875
modelscope/modelscope,0,-0.43419417286309714,1.754713941117856,normal,国际化不足,8910,940,20,30,20,30,0.536040560688599,0.4929516329061596,0.5690712415598732,0.2553571428571428
dropwizard/dropwizard,1,-0.21887593235955732,0.3575914152450818,normal,正常,8581,3412,20,30,8,30,0.6078586356999393,0.4051467548573791,0.4617033553810114,0.5599999999999999
webstudio-is/webstudio,1,-0.4574280666287646,0.057872569172811354,normal,正常,8536,1538,20,30,6,30,0.5430291829749154,0.3905126085159157,0.4226281521289788,0.575
stamparm/maltrail,0,-1.0353778744998368,1.3697616072984125,normal,国际化不足,8431,1252,5,30,22,30,0.5661877805351847,0.507585779247623,0.4982979599634209,0.0875
k8sgpt-ai/k8sgpt,1,-0.8222823064334299,-1.287191477731331,normal,正常,7746,986,20,24,4,30,0.5251907055143376,0.3352004960727573,0.2838001240181893,0.5675
chengaopan/AutoMergePublicNodes,1,-2.741840793258497,-3.1794069733415915,normal,国际化不足,7375,1209,2,30,5,5,0.5252435122716755,0.2581955353451839,0.0770488838362959,0.3
LearningCircuit/local-deep-research,1,-1.3171759554631983,-0.6072281167695366,normal,国际化不足,7041,638,20,30,2,30,0.4897499726684608,0.3612443158329889,0.3653110789582472,0.0875
woodpecker-ci/woodpecker,1,-0.8128133865700904,0.18860690335954575,normal,国际化不足,7002,564,20,30,8,30,0.4821495627847277,0.4051467548573791,0.4304533553810114,0.275
TagStudioDev/TagStudio,1,-1.0005314209187872,-0.18401590418092859,normal,国际化不足,6924,460,20,16,19,30,0.4926260276410497,0.3907193054981397,0.3753114053219033,0.3249999999999999
databasus/databasus,0,-0.5336411402836286,2.389682521498387,normal,国际化不足,6804,354,20,30,16,30,0.4648309275312789,0.4636833402232327,0.6450875017224749,0.3249999999999999
nesquena/hermes-webui,1,-0.5479374481573552,0.03528798919166777,normal,正常,6516,850,20,30,8,30,0.4865814445010328,0.4051467548573791,0.4054533553810114,0.48
farm-fe/farm,1,-2.381979392955929,-0.5011257464866911,normal,国际化不足,5577,192,20,8,2,30,0.4210837157791983,0.2120917734601075,0.4113562766983602,0.125
