repo,text_cluster,text_x,text_y,main_topic,readme_keywords,commit_type
grafana/grafana,1,-0.0680097,-0.15574999,数据科学工具,alerting;analytics;business-intelligence;dashboard;data-visualization;elasticsearch;go;grafana;hacktoberfest;influxdb;metrics;monitoring;mysql;postgres;prometheus,chore
apache/superset,0,-0.2937839,-0.11180472,深度学习框架,analytics;apache;apache-superset;asf;bi;business-analytics;business-intelligence;data-analysis;data-analytics;data-engineering;data-science;data-visualization;data-viz;flask;python;react;sql-editor;superset,fix
pallets/flask,0,-0.12334298,-0.119177744,深度学习框架,flask;jinja;pallets;python;web-framework;werkzeug;wsgi,chore
ansible/ansible,1,0.13052948,-0.04323498,数据科学工具,ansible;python,chore
apache/echarts,0,-0.08040691,-0.17358588,深度学习框架,apache;canvas;charting-library;charts;data-visualization;data-viz;echarts;svg;visualization,chore
scikit-learn/scikit-learn,4,0.043447886,0.31252277,可视化与应用,data-analysis;data-science;machine-learning;python;statistics,chore
keras-team/keras,0,-0.62345934,0.16053651,深度学习框架,data-science;deep-learning;jax;machine-learning;neural-networks;python;pytorch;tensorflow,chore
prometheus/prometheus,1,0.13605018,-0.05330401,数据科学工具,alerting;graphing;hacktoberfest;metrics;monitoring;prometheus;time-series,chore
commaai/openpilot,5,0.06421131,0.09742981,搜索与向量检索,advanced-driver-assistance-systems;driver-assistance-systems;robotics,chore
pocketbase/pocketbase,1,0.24636544,-0.100308634,数据科学工具,authentication;backend;golang;realtime,chore
ultralytics/ultralytics,4,0.064289354,0.37499776,可视化与应用,cli;computer-vision;deep-learning;hub;image-classification;instance-segmentation;machine-learning;object-detection;pose-estimation;python;pytorch;rotated-object-detection;segment-anything;tracking;ultralytics;yolo;yolo-world;yolo11;yolo26;yolov8,chore
appwrite/appwrite,3,0.0076444666,-0.2912567,分布式计算,android;appwrite;backend;backend-as-a-service;docker;firebase;flutter;hosting;ios;javascript;nextjs;react;react-native;reactnative;self-hosted;selfhosted;serverless;supabase;swift;web,chore
vuejs/core,2,0.051735137,-0.06406618,大模型应用,,chore
expo/expo,2,0.10746383,-0.15397927,大模型应用,android;app-framework;expo;framework;frontend;ios;javascript;mobile;native;native-apps;react;react-native;typescript;universal;web;web-framework,chore
